timestamp,heart_rate,hrv_sdnn,resp_rate,resting_hr,steps,distance_km,active_energy_kcal,physical_effort
2026-07-31 23:33:38+09:00,104.0,,,,,,6.778,1.6
2026-07-31 23:35:01+09:00,101.0,,,,2.0,0.00131566,6.778,4.8
2026-07-31 23:44:10+09:00,137.0,,,,,,0.116,1.6
2026-07-31 23:48:55+09:00,105.0,,,,67.0,0.0147419,0.23,3.8
2026-07-31 23:50:07+09:00,108.0,,,,67.0,0.0147419,0.789,3.8
2026-07-31 23:54:37+09:00,137.0,,,,16.0,0.00327598,0.128,1.9
2026-07-31 23:54:42+09:00,138.0,,,,16.0,0.00873596,0.128,1.9
2026-07-31 23:54:47+09:00,138.0,,,,16.0,0.00873596,0.128,1.9
2026-07-31 23:54:52+09:00,136.0,,,,16.0,0.00873596,0.128,1.9
2026-07-31 23:54:54+09:00,136.0,,,,16.0,0.00873596,0.128,1.9
2026-07-31 23:55:01+09:00,136.0,,,,16.0,0.00873596,0.128,1.9
2026-07-31 23:55:03+09:00,136.0,,,,16.0,0.00873596,0.322,1.9
2026-07-31 23:59:10+09:00,106.0,,,,,,0.162,1.1
