timestamp,heart_rate,hrv_sdnn,resp_rate,resting_hr,steps,distance_km,active_energy_kcal,physical_effort
2026-07-30 18:02:54+09:00,75.0,,,,14.0,0.010681,0.558,4.2
2026-07-30 18:05:50+09:00,95.0,,,,52.0,0.037868,0.705,2.2
2026-07-30 18:09:29+09:00,87.0,,,,690.0,0.046563,1.141,5.0
2026-07-30 18:11:44+09:00,118.0,,,,690.0,0.040919,0.781,1.6
2026-07-30 18:11:47+09:00,120.0,,,,690.0,0.040919,0.781,1.6
2026-07-30 18:11:51+09:00,121.0,,,,690.0,0.040919,0.781,1.6
2026-07-30 18:11:55+09:00,121.0,,,,690.0,0.0049385,0.781,1.6
2026-07-30 18:12:04+09:00,119.0,,,,690.0,0.0049385,0.057,1.6
2026-07-30 18:12:08+09:00,116.0,,,,690.0,0.0049385,0.057,1.6
2026-07-30 18:12:14+09:00,114.0,,,,690.0,0.0049385,0.057,1.6
2026-07-30 18:12:19+09:00,111.0,,,,690.0,0.0049385,0.057,1.6
2026-07-30 18:12:23+09:00,114.0,,,,690.0,0.264103,8.338,1.6
2026-07-30 18:15:04+09:00,118.0,,,,,0.264103,8.338,1.7
2026-07-30 18:17:37+09:00,76.0,,,,,,,1.5
2026-07-30 18:25:02+09:00,74.0,,,,25.0,0.0176375,2.623,
2026-07-30 18:26:11+09:00,76.0,,,,25.0,0.0176375,2.623,
