timestamp,heart_rate,hrv_sdnn,resp_rate,resting_hr,steps,distance_km,active_energy_kcal,physical_effort
2026-07-30 14:14:55+09:00,125.0,,,,,,0.55,
2026-07-30 14:17:55+09:00,59.0,,,,,,0.55,
2026-07-30 14:25:42+09:00,119.0,14.4363,,,,,,
2026-07-30 14:29:07+09:00,111.0,14.4363,,,,,1.082,
2026-07-30 14:34:34+09:00,118.0,14.4363,,,,,2.239,
2026-07-30 14:41:41+09:00,115.0,14.4363,,,,,,
2026-07-30 14:42:09+09:00,118.094,14.4363,,,,,0.595,
2026-07-30 14:44:51+09:00,116.0,14.4363,,,,,0.595,1.5
2026-07-30 14:47:04+09:00,119.0,14.4363,,,,,2.513,1.5
2026-07-30 14:52:02+09:00,117.0,14.4363,,,,,,
2026-07-30 14:58:08+09:00,118.0,14.4363,,,20.0,0.0021165,0.15,
2026-07-30 15:03:59+09:00,96.0,,,,,,,
2026-07-30 15:10:16+09:00,114.0,,,,,,1.218,
