timestamp,heart_rate,hrv_sdnn,resp_rate,resting_hr,steps,distance_km,active_energy_kcal,physical_effort
2026-07-25 22:32:18+09:00,95.0,,,,,,,4.1
2026-07-25 22:35:02+09:00,103.0,,,,318.0,0.22027,,2.0
2026-07-25 22:40:29+09:00,100.0,,,,646.0,0.0103357,0.247,5.6
2026-07-25 22:44:15+09:00,108.0,,,,646.0,0.023404,0.311,4.1
2026-07-25 22:45:26+09:00,132.0,,,,625.0,0.0266383,0.949,3.1
2026-07-25 22:46:57+09:00,132.0,,,,625.0,0.469,0.63,3.1
2026-07-25 22:47:01+09:00,132.0,,,,625.0,0.469,0.62,3.1
2026-07-25 22:47:07+09:00,130.0,,,,625.0,0.0170032,0.62,3.1
2026-07-25 22:47:08+09:00,130.0,,,,625.0,0.0170032,0.62,3.1
2026-07-25 22:47:27+09:00,132.0,,,,625.0,0.365713,16.849,3.1
2026-07-25 22:47:30+09:00,132.0,,,,625.0,0.365713,16.849,4.1
2026-07-25 22:49:55+09:00,126.0,,,,610.0,0.365713,16.849,3.3
2026-07-25 22:53:02+09:00,101.0,,,,610.0,,,4.8
2026-07-25 22:55:35+09:00,130.0,,,,504.0,0.37252,14.453,1.6
2026-07-25 22:57:57+09:00,125.0,,,,504.0,0.216945,14.453,4.1
