timestamp,heart_rate,hrv_sdnn,resp_rate,resting_hr,steps,distance_km,active_energy_kcal,physical_effort
2026-07-12 13:27:58+09:00,119.0,,,,16.0,0.01016,,1.8
2026-07-12 13:30:39+09:00,74.0,,,,16.0,0.01016,0.053,4.0
2026-07-12 13:31:59+09:00,73.0,,,,16.0,0.01016,0.106,1.7
2026-07-12 13:39:00+09:00,72.0,,,,129.0,0.0958417,,4.8
2026-07-12 13:41:59+09:00,111.0,,,,101.0,0.07114,4.586,3.1
2026-07-12 13:45:20+09:00,109.0,,,,,,4.586,1.6
2026-07-12 13:46:30+09:00,87.0,,,,,,,1.6
2026-07-12 13:47:54+09:00,88.0,,,,,,,1.6
2026-07-12 13:52:02+09:00,81.0,,,,117.0,0.08733,4.916,
2026-07-12 13:56:28+09:00,107.0,,,,143.0,0.108353,,3.9
