date,hrv_day_med,hrv_n,hrv_ratio,resting_hr,rhr_delta,low_condition,evidence
2026-07-16,21.6223,5,0.7715925696616522,71.0,0.0,False,
2026-07-17,32.3027,1,1.1527230359401848,71.0,0.0,False,
2026-07-18,22.0348,1,0.7863126473122922,69.0,-2.0,False,
2026-07-20,28.7259,5,1.0250847965685268,72.0,1.0,False,
2026-07-21,34.04755,4,1.2149880722764734,67.0,-4.0,False,
2026-07-23,15.9199,3,0.568102216219206,73.0,2.0,True,일 HRV 16ms = 개인 중앙값 28ms의 57% (표본 3개)
2026-07-24,23.94075,4,0.8543265430655944,72.0,1.0,False,
2026-07-26,32.690200000000004,4,1.1665509876726041,74.0,3.0,False,
2026-07-27,35.4784,3,1.2660480070799112,69.0,-2.0,False,
2026-07-30,37.87,3,1.3513923409205668,69.0,-2.0,False,
2026-07-31,44.1447,4,1.5753052408829191,72.0,1.0,False,
2026-08-01,16.5736,1,0.5914295247288383,63.0,-8.0,False,
