date,hrv_day_med,hrv_n,hrv_ratio,resting_hr,rhr_delta,low_condition,evidence
2026-07-01,9.80837,1,0.3522362278244631,80.0,1.0,False,
2026-07-02,25.2454,4,0.9066077713136537,79.0,0.0,False,
2026-07-03,23.708550000000002,4,0.8514167205343677,80.0,1.0,False,
2026-07-04,35.7646,1,1.2843711843711845,70.0,-9.0,False,
2026-07-05,18.2064,5,0.6538246067657831,68.0,-11.0,True,일 HRV 18ms = 개인 중앙값 28ms의 65% (표본 5개)
2026-07-06,36.7541,7,1.3199059110823816,68.0,-11.0,False,
2026-07-07,36.5067,5,1.311021331609567,66.0,-13.0,False,
2026-07-08,38.5839,2,1.385617323852618,,,False,
2026-07-09,41.8228,6,1.5019320548732313,66.0,-13.0,False,
2026-07-10,17.596600000000002,2,0.6319255907491202,80.0,1.0,True,일 HRV 18ms = 개인 중앙값 28ms의 63% (표본 2개)
2026-07-12,40.3838,4,1.4502549737843855,68.0,-11.0,False,
2026-07-13,25.698,5,0.922861452273217,79.0,0.0,False,
2026-07-14,37.3653,1,1.3418552036199094,73.0,-6.0,False,
2026-07-15,25.9467,6,0.9317927170868348,79.0,0.0,False,
2026-07-16,29.54815,6,1.061127271421389,74.0,-5.0,False,
2026-07-17,34.563050000000004,4,1.2412213603390074,68.0,-11.0,False,
2026-07-18,31.8919,5,1.1452955541190835,79.0,0.0,False,
2026-07-19,44.2484,1,1.589039718451483,76.0,-3.0,False,
2026-07-21,24.4688,7,0.8787186669539612,81.0,2.0,False,
2026-07-22,37.1709,10,1.334873949579832,74.0,-5.0,False,
2026-07-23,23.5153,9,0.8444767650650004,79.0,0.0,False,
2026-07-24,30.4604,5,1.0938878115348702,80.0,1.0,False,
2026-07-25,23.7204,7,0.8518422753716872,84.0,5.0,False,
2026-07-26,27.8817,3,1.0012820512820513,79.0,0.0,False,
2026-07-27,17.464850000000002,6,0.6271942110177405,88.0,9.0,True,일 HRV 17ms = 개인 중앙값 28ms의 63% (표본 6개); 안정시심박 +9bpm
2026-07-28,37.1258,4,1.3332543273719744,87.0,8.0,False,
2026-07-29,21.367649999999998,6,0.7673507864684335,89.0,10.0,False,
2026-07-30,14.4363,3,0.5184335272570566,87.0,8.0,True,일 HRV 14ms = 개인 중앙값 28ms의 52% (표본 3개); 안정시심박 +8bpm
